Species,Value,Country
A.nidulans,0,Vancouver
A.fumigatus,77.41935484,Vancouver
A.clavatus,77.41935484,Vancouver
A.glaucus,74.19354839,Vancouver
A.heteromorphus,77.41935484,Vancouver
A.mulundensis,77.41935484,Vancouver
A.niger,77.41935484,Vancouver
A.novofumigatus,77.41935484,Vancouver
A.steynii,77.41935484,Vancouver
A.terreus,77.41935484,Vancouver
A.aculeatinus,0,Vancouver
A.awamori,0,Vancouver
A.welwitschiae,0,Vancouver
A.pseudoglaucus,0,Vancouver
A.nidulans,65.07936508,Singapore
A.fumigatus,98.41269841,Singapore
A.clavatus,31.74603175,Singapore
A.glaucus,65.07936508,Singapore
A.heteromorphus,31.74603175,Singapore
A.mulundensis,0,Singapore
A.niger,31.74603175,Singapore
A.novofumigatus,0,Singapore
A.steynii,65.07936508,Singapore
A.terreus,0,Singapore
A.aculeatinus,30.95238095,Singapore
A.awamori,30.15873016,Singapore
A.welwitschiae,30.15873016,Singapore
A.pseudoglaucus,30.15873016,Singapore