Genus,Sputum,Candida,Saccharomyces,Aspergillus,Curvularia,Grammothele,Schizophyllum,Earliella,Resinicium,Trichaptum,Penicillium,Trametes,Malassezia,Lodderomyces,Phellinus,Cladosporium,Acanthocorticium,Cryptococcus,Fomitopsis,Fusarium,Hyphodontia,Phlebiopsis,Unidentified
HP0003,y,0.613371401,0.046157507,0.003568879,0.068522484,0.054246966,0.039733524,0.029740661,0.007851535,0.007613609,0.006661908,0.005472282,0.003806805,0.001189626,0.000475851,0.000237925,0,0,0,0,0,0,0.049964311
HP0008,y,0.265279584,0.236020806,0.022756827,0.097529259,0,0.011053316,0,0,0.00130039,0.070871261,0,0.063068921,0.00130039,0.013654096,0.016254876,0,0.024057217,0,0,0,0.00520156,0.013003901
HP0009,y,0.22533137,0.609720177,0.033873343,0.005891016,0,0,0,0,0,0.020618557,0,0,0.004418262,0,0.016200295,0.004418262,0,0,0.001472754,0,0.005891016,0
HP0010,y,0.546511628,0.387596899,0.007751938,0.011627907,0,0.011627907,0.003875969,0,0,0,0,0,0,0,0,0,0,0,0.015503876,0,0,0
HP0025,y,0.855816597,0.117437161,0,0.014020462,0,0,0,0,0.001799924,0,0.000284199,3.16E-05,0.001073639,0.000284199,0.000284199,0,0.004673487,0,0,0,3.16E-05,0.001199949
HP0027,y,0.827894003,0.089539749,0,0,0,0,0,0,0,0,0,0,0.00390516,0,0.00111576,0,0.00027894,0.00390516,0,0,0,0.0041841
HP0028,y,0.883227597,0.042823156,0,0.000198255,0.009318002,0.000594766,0,0,0,0,0,0,0,0.00297383,0,0,0,0,0,0.005154639,0,0.001189532
HP0031,y,0.552412646,0,0.216306156,0.168885191,0,0,0,0,0,0,0.000831947,0,0.004991681,0,0,0,0,0,0,0,0,0.029950083
HP0032,y,0.788042038,0.082486973,0,0.011216109,0.030292325,8.83E-05,0,0.011216109,0,0,0,0,0.003532633,0.000794842,0,0,0.003885896,8.83E-05,0,0.010509582,0,0.024110218
HP0033,y,0.997745396,0.000237327,0,0,0,2.37E-05,0,0,0,0,0,0,2.37E-05,0,0,0,0,0,0,0,0,2.37E-05
HP0052,y,0.410641201,0.522510232,0,0,0,0,0,0,0,0,0,0.009549795,0,0,0,0,0,0,0,0,0,0.002728513
HP0053,y,0.455487213,0.076723859,0,0.008416963,0.038847523,0.113629006,0.000647459,0.058271285,0.01003561,0,0,0.004208482,0.027193266,0.005827129,0.000323729,0.005503399,0,0.013272904,0,0.013920363,0.018452574,0.026869537
HP0055,y,0.685331877,0.267413275,0,0,0,0,0.006692161,0,0,0,0.017481562,0,0.002731494,0,0,0,0,0,0.002048621,0,0,0.011335701
HP0056,y,0.532505994,0.019743337,0,0.000141024,0.004230715,0.035114934,0,0.011846002,0,0,0.031871386,0,0.0029615,0,0.000282048,0.007615287,0,0.005499929,0.000141024,0.001551262,0.035114934,0.185587364
HP0079,y,0.856867779,0.139120668,0,0.000160462,0.002567394,0,0,0,0,0,0,0,0.000481386,0,0,0,0,0,0,0,0,0
HP0080,y,0.828703704,0.083333333,0,0.050925926,0,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0
HP0081,y,0.691686747,0.268554217,0,0.013253012,0,0,0,0,0,0,0,0.000361446,0.000963855,0,0,0,0,0,0.001204819,0,0,0.001084337
HP0082,y,0.433426769,0.173440785,0,0.010861948,0.005606167,0.11755431,0.01874562,0.001226349,0,0,0.008934828,0.001226349,0.004905396,0.013840224,0.000875964,0.022424667,0.023826209,0,0,0,0.010861948,0.026979678
HP0090,y,0.854806542,0.009726612,0,0.065846399,0,3.07E-05,0,3.07E-05,0,0,9.20E-05,0,0.009511828,0,0.013347243,0,3.07E-05,0.001840999,0,0,0,0.009910712
HP0091,y,0.977553715,0.000360101,0.001920538,0.002400672,0.000120034,0,0,0,0,0.00132037,0,0.00132037,0.000360101,0,0.000480134,0,0,0,0,0,0,0.002400672
HP0093,y,0.930080117,0.054624909,0,0,0,0.010924982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003641661,0